{'it': 1, 'wall': 9.9, 'records': 1195, 'policy_loss': 8.4205, 'value_loss': 0.2022, 'ep_len': 149.4, 'cache_hit_rate': 0.1364, 'cache_lookups': 61358, 'infer_rows': 52960, 'infer_calls': 7162, 'fresh_rows': 52960, 'hit_rows': 8365}
{'it': 2, 'wall': 19.2, 'records': 790, 'policy_loss': 8.2087, 'value_loss': 0.7815, 'ep_len': 98.8, 'cache_hit_rate': 0.1865, 'cache_lookups': 60435, 'infer_rows': 49144, 'infer_calls': 7001, 'fresh_rows': 49144, 'hit_rows': 11273}
{'it': 3, 'wall': 27.7, 'records': 914, 'policy_loss': 7.3946, 'value_loss': 0.1583, 'ep_len': 130.6, 'cache_hit_rate': 0.1015, 'cache_lookups': 50631, 'infer_rows': 45491, 'infer_calls': 6035, 'fresh_rows': 45491, 'hit_rows': 5135}
{'it': 4, 'wall': 30.3, 'records': 797, 'policy_loss': 6.4152, 'value_loss': 0.3939, 'ep_len': 113.9, 'cache_hit_rate': 0.3339, 'cache_lookups': 18234, 'infer_rows': 12145, 'infer_calls': 2047, 'fresh_rows': 12145, 'hit_rows': 6088}
{'it': 5, 'wall': 37.2, 'records': 804, 'policy_loss': 5.3379, 'value_loss': 0.3249, 'ep_len': 89.3, 'cache_hit_rate': 0.1592, 'cache_lookups': 42022, 'infer_rows': 35334, 'infer_calls': 4923, 'fresh_rows': 35334, 'hit_rows': 6688}
{'it': 6, 'wall': 42.1, 'records': 785, 'policy_loss': 5.1321, 'value_loss': 0.2795, 'ep_len': 87.2, 'cache_hit_rate': 0.3078, 'cache_lookups': 36738, 'infer_rows': 25429, 'infer_calls': 4109, 'fresh_rows': 25429, 'hit_rows': 11309}
{'it': 7, 'wall': 45.9, 'records': 786, 'policy_loss': 4.3945, 'value_loss': 0.0273, 'ep_len': 49.1, 'cache_hit_rate': 0.3027, 'cache_lookups': 28127, 'infer_rows': 19613, 'infer_calls': 3335, 'fresh_rows': 19613, 'hit_rows': 8514}
{'it': 8, 'wall': 51.0, 'records': 807, 'policy_loss': 4.1185, 'value_loss': 0.0136, 'ep_len': 38.4, 'cache_hit_rate': 0.3, 'cache_lookups': 34583, 'infer_rows': 24209, 'infer_calls': 4076, 'fresh_rows': 24209, 'hit_rows': 10374}
{'it': 9, 'wall': 56.5, 'records': 779, 'policy_loss': 3.8599, 'value_loss': 0.0111, 'ep_len': 35.4, 'cache_hit_rate': 0.2936, 'cache_lookups': 36491, 'infer_rows': 25770, 'infer_calls': 4241, 'fresh_rows': 25770, 'hit_rows': 10714}
{'it': 10, 'wall': 62.3, 'records': 773, 'policy_loss': 3.8302, 'value_loss': 0.0035, 'ep_len': 29.7, 'cache_hit_rate': 0.2599, 'cache_lookups': 35611, 'infer_rows': 26355, 'infer_calls': 4263, 'fresh_rows': 26355, 'hit_rows': 9256}
{'it': 11, 'wall': 68.9, 'records': 781, 'policy_loss': 3.8533, 'value_loss': 0.0041, 'ep_len': 37.2, 'cache_hit_rate': 0.2479, 'cache_lookups': 42212, 'infer_rows': 31746, 'infer_calls': 4965, 'fresh_rows': 31746, 'hit_rows': 10466}
